title,company,location,country,description,job_url,date_posted,salary_min,salary_max,salary_text,source,dedup_key
BI Analytics Engineer,Uline,"Pleasant Prairie, Kenosha County",us,"BI Analytics Engineer Corporate Headquarters 12575 Uline Drive, Pleasant Prairie, WI 53158 Build what's next. Power what’s now. As a BI Analytics Engineer at Uline, you’ll turn data into insights that drive decisions across the business. Partner with teams across the company to design dashboards, shape reporting and build scalable analytics solutions that support our custom enterprise systems. Why IT at Uline? Uline’s 450 person in-house tech team builds and supports the custom systems that run…",https://www.adzuna.com/details/5753037269?utm_medium=api&utm_source=a2c527c1,2026-06-05T06:01:41Z,141212.72,141212.72,,Adzuna Live API,0cba76910054bafd0edcbfa0fd6968bb
Analytics Engineer,SeatGeek,US,us,"SeatGeek believes live events are powerful experiences that unite humans. With our technological savvy and fan-first attitude we're simplifying and modernizing the ticketing industry. We are looking for an Analytics Engineer to join SeatGeek's Data team. You will join a high-performing team that partners closely with business stakeholders for their data management and insights generation needs. Analytics Engineers play a critical role in discovering, extracting, storing, cataloging, modeling, a…",https://www.adzuna.com/land/ad/5742772614?se=HkwlSVVh8RGHk5mrcEw0_Q&utm_medium=api&utm_source=a2c527c1&v=7796A1E5AEED4A9D92CCA922AA3DF03ACA918F66,2026-05-27T18:52:45Z,166895.25,166895.25,,Adzuna Live API,3f4faaf16e240213601b1a1b463e935a
Analytics Engineer,Saxon Global,"Miland, Sabine County",us,"Interim Controller – Oil Field Services Location: Hybrid role – requires periodic on-site presence in Midland, TX (approximately 25–50% travel) Duration: Interim / Contract (Full-time hours) Industry: Oil Field Services Client: Riveron Rate: up to $100/hr W2 3 months Overview: Our client, a leading player in the Oil Field Services sector, is seeking an Interim Controller to oversee accounting operations, financial reporting, and compliance functions. This role will ensure accuracy and efficienc…",https://www.adzuna.com/land/ad/5748644497?se=HkwlSVVh8RGHk5mrcEw0_Q&utm_medium=api&utm_source=a2c527c1&v=C8CF1728CDC9F0DB8D96E49517888B849E27BA7A,2026-06-01T23:01:32Z,280795.4,280795.4,,Adzuna Live API,452b9a4a256fc1ea8f134ba47fed81ea
Analytics Engineer,BlueSky Resource Solutions,"Northlake, DeKalb County",us,"Core Job Requirements 5 years of experience in analytics engineering, data engineering, or advanced BI within a modern data stack Strong SQL skills with experience building scalable, well-structured datasets Hands-on experience with dbt (or similar) for modeling, testing, and documentation Experience working with cloud data warehouses (Snowflake preferred), including performance tuning and cost awareness Solid understanding of analytics engineering best practices: Star and snowflake schemas Inc…",https://www.adzuna.com/land/ad/5721790557?se=HkwlSVVh8RGHk5mrcEw0_Q&utm_medium=api&utm_source=a2c527c1&v=0316F9AF8D9A4C8A5D807A6A914231650DC266B3,2026-05-07T12:10:45Z,111097.67,111097.67,,Adzuna Live API,4654d0d484ff6adaa968313cf9eb9965
Analytics Engineer,The Atlantic Group,"Grand Central, Manhattan",us,"Our client, a real estate and asset-based lender, is looking to hire a full-time Analytics Engineer to work onsite out of their Midtown Manhattan location. This is a dynamic team focusing on optimizing the firm's asset management operations and business intelligence (BI) capabilities. This role combines technical data engineering expertise with analytical science skills to drive data-informed decision-making across their portfolio. This is a broad/generalist focused role with a heavy focus on D…",https://www.adzuna.com/land/ad/5683637960?se=HkwlSVVh8RGHk5mrcEw0_Q&utm_medium=api&utm_source=a2c527c1&v=8358B837F469D5EFAE0D4663C9E11DF59AAC9550,2026-03-30T18:40:22Z,169486.94,169486.94,,Adzuna Live API,5fae8b58471048ea7388e7687cbc3a81
Senior Analytics Engineer,Insight Global,"Campbell, Santa Clara County",us,"Job Description The Analytics Engineer will support data, automation, and AI initiatives focused on Revenue Cycle Management (RCM), with an emphasis on automating the Accounts Receivable (AR) Follow-Up function. This role will design scalable, production-grade data models using dbt in a modern cloud-based lakehouse environment. In addition to core analytics engineering responsibilities, this position will help enable AI-driven workflows such as intelligent account prioritization, denial trend d…",https://www.adzuna.com/land/ad/5644189232?se=HkwlSVVh8RGHk5mrcEw0_Q&utm_medium=api&utm_source=a2c527c1&v=FF32A5026537E8FA14086792520AD06AF781D1CF,2026-02-24T16:28:22Z,107326.88,107326.88,,Adzuna Live API,788c2b10d5518a17ef75d8b37fb54e3c
Analytics Engineer (Remote),Insight Global,"Montgomery, Hamilton County",us,"Job Description An employer is seeking an Analytics Engineer to join their data organization. This individual will play a key role in transforming curated data into clear, consistent, and analytics-ready data models that support reporting, dashboards, and decision-making across the business. This role sits at the intersection of data engineering, analytics, and business stakeholders, owning the semantic layer and ensuring metrics are trusted, well-defined, and easy to use. The ideal candidate i…",https://www.adzuna.com/land/ad/5704138289?se=HkwlSVVh8RGHk5mrcEw0_Q&utm_medium=api&utm_source=a2c527c1&v=6EAB541BD838C9BC91469B30AD79E94233664A39,2026-04-18T22:09:42Z,119291.73,119291.73,,Adzuna Live API,3823d427e4c17903466621149f495368
Sr. Analytics Engineer,Insight Global,"Santa Monica, Los Angeles County",us,"Job Description A client is seeking a Senior Analytics Engineer to join their growing Data & Analytics team! This person will be passionate about using data to create value and will have a strong background in data & analytics engineering. This person will be essential in increasing accessibility to data and empowering teams to make informed decisions. This person will partner directly with multiple product team functions and domains and will drive impact through their data strategy, vision, an…",https://www.adzuna.com/land/ad/5654271889?se=HkwlSVVh8RGHk5mrcEw0_Q&utm_medium=api&utm_source=a2c527c1&v=534B1094178B2238BB2C734922AC48141EB5FC2E,2026-03-04T16:31:11Z,113365.07,113365.07,,Adzuna Live API,1684921112f7bc0906c906f081ecb7e0
Data Analytics Engineer,Skanska,"Durham, Durham County",us,"Skanska is searching for a dynamic Data Analytics Engineer. This is a great opportunity to start a career with a company that builds things that matter and values its team. We are proud to share our culture of diversity and inclusion. Our work makes a clear contribution to society and the environment around us. We build in many different verticals. Whether we are building schools to provide inspiring spaces for learning, roads to connect communities, or hospitals to care for patients, it all co…",https://www.adzuna.com/land/ad/5723692824?se=HkwlSVVh8RGHk5mrcEw0_Q&utm_medium=api&utm_source=a2c527c1&v=262C326C140188A3F36742D8C0D788299F6D80CD,2026-05-08T21:36:46Z,110575.4,110575.4,,Adzuna Live API,f6d79bf18539d74f21393c35ff15df96
Data Analytics Engineer,Skanska,"Atlanta, Fulton County",us,"Skanska is searching for a dynamic Data Analytics Engineer. This is a great opportunity to start a career with a company that builds things that matter and values its team. We are proud to share our culture of diversity and inclusion. Our work makes a clear contribution to society and the environment around us. We build in many different verticals. Whether we are building schools to provide inspiring spaces for learning, roads to connect communities, or hospitals to care for patients, it all co…",https://www.adzuna.com/land/ad/5723694001?se=HkwlSVVh8RGHk5mrcEw0_Q&utm_medium=api&utm_source=a2c527c1&v=F1B6C2ED92DF79BAB6F87DCD1C63A1FD97687261,2026-05-08T21:37:08Z,152241.27,152241.27,,Adzuna Live API,2bf1e8f0e906d1205a3e00319a0eeac7
